epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5906,4.12198,4.34742,3.72246,0.25516,0.00405,0.00148,0.00031,4.11356,3.4668,3.48863,0.000332444,0.000332444,0.067088
2,83.9619,3.8298,3.51604,3.17814,0.76814,0.02139,0.00872,0.00225,3.40117,2.91459,2.94038,0.000659187,0.000659187,0.0340814
3,124.282,3.15952,2.84409,2.63145,0.71092,0.04758,0.04498,0.01591,2.73156,2.36633,2.33187,0.000979329,0.000979329,0.00106822
4,164.588,2.6124,2.32642,2.16572,0.55388,0.09662,0.07913,0.03234,2.30945,1.93142,1.96853,0.0009703,0.0009703,0.0009703
5,204.963,2.32297,2.02997,1.90302,0.53118,0.13677,0.11542,0.05133,2.08562,1.73261,1.79429,0.0009604,0.0009604,0.0009604
6,245.179,2.16042,1.86625,1.7731,0.43055,0.13491,0.13017,0.05723,2.01907,1.67025,1.71898,0.0009505,0.0009505,0.0009505
7,285.445,2.05569,1.77159,1.69828,0.45824,0.16249,0.1524,0.07453,1.87374,1.54387,1.6261,0.0009406,0.0009406,0.0009406
8,326.243,1.97845,1.70441,1.64149,0.47117,0.18363,0.17518,0.08571,1.83491,1.50288,1.58853,0.0009307,0.0009307,0.0009307
9,366.561,1.90696,1.63092,1.59933,0.3349,0.21031,0.18283,0.0922,1.75426,1.42976,1.55008,0.0009208,0.0009208,0.0009208
10,406.873,1.85329,1.58256,1.56598,0.37131,0.23025,0.20387,0.10515,1.68821,1.38131,1.49711,0.0009109,0.0009109,0.0009109
11,447.188,1.8154,1.53545,1.52976,0.36421,0.22987,0.21151,0.11093,1.67082,1.34684,1.48579,0.000901,0.000901,0.000901
12,487.44,1.77037,1.50254,1.50103,0.39658,0.25524,0.22343,0.11462,1.63783,1.33644,1.46698,0.0008911,0.0008911,0.0008911
13,527.758,1.74301,1.47107,1.48777,0.43709,0.27025,0.23964,0.12704,1.60653,1.29136,1.44276,0.0008812,0.0008812,0.0008812
14,567.912,1.70903,1.43508,1.46291,0.43244,0.26299,0.25065,0.1329,1.59326,1.28053,1.43699,0.0008713,0.0008713,0.0008713
15,608.329,1.68431,1.40445,1.44466,0.4493,0.25405,0.25253,0.1358,1.54224,1.26414,1.40494,0.0008614,0.0008614,0.0008614
16,648.435,1.65492,1.37326,1.41999,0.49163,0.26474,0.26837,0.14652,1.53505,1.21673,1.40022,0.0008515,0.0008515,0.0008515
17,688.659,1.62916,1.34619,1.41296,0.48779,0.27898,0.27396,0.14581,1.53796,1.25904,1.40112,0.0008416,0.0008416,0.0008416
18,728.904,1.61837,1.33799,1.40445,0.50984,0.29796,0.28836,0.15812,1.48977,1.17205,1.3676,0.0008317,0.0008317,0.0008317
19,769.122,1.60016,1.31872,1.38784,0.51429,0.3101,0.30468,0.16564,1.47218,1.14642,1.35284,0.0008218,0.0008218,0.0008218
20,810.07,1.58828,1.30853,1.38398,0.57277,0.30074,0.31427,0.17287,1.45312,1.14095,1.3499,0.0008119,0.0008119,0.0008119
21,850.459,1.56579,1.27991,1.36884,0.54188,0.30944,0.31781,0.17479,1.45445,1.13213,1.34239,0.000802,0.000802,0.000802
22,890.903,1.54258,1.26302,1.35448,0.56118,0.3255,0.33413,0.18448,1.4368,1.11695,1.33511,0.0007921,0.0007921,0.0007921
23,931.206,1.53734,1.25162,1.35264,0.44714,0.32442,0.34378,0.18883,1.41921,1.11089,1.32129,0.0007822,0.0007822,0.0007822
24,971.41,1.51665,1.22443,1.34183,0.55982,0.34346,0.35128,0.19505,1.40089,1.07101,1.31576,0.0007723,0.0007723,0.0007723
25,1011.56,1.50183,1.21028,1.33817,0.5254,0.35514,0.35233,0.19533,1.4079,1.07086,1.31427,0.0007624,0.0007624,0.0007624
26,1051.91,1.5002,1.21556,1.33292,0.55952,0.34295,0.35866,0.19952,1.39181,1.06425,1.30295,0.0007525,0.0007525,0.0007525
27,1092.09,1.48205,1.19123,1.32124,0.55417,0.3556,0.36143,0.20066,1.37857,1.05601,1.29804,0.0007426,0.0007426,0.0007426
28,1132.26,1.46469,1.1787,1.31539,0.51344,0.3521,0.38833,0.21748,1.35626,1.03317,1.2892,0.0007327,0.0007327,0.0007327
29,1172.42,1.47574,1.17085,1.30973,0.51364,0.36461,0.39297,0.22059,1.36469,1.02307,1.28841,0.0007228,0.0007228,0.0007228
30,1212.66,1.45915,1.15637,1.30295,0.61462,0.3765,0.39074,0.21883,1.34428,1.02452,1.27818,0.0007129,0.0007129,0.0007129
31,1252.78,1.44511,1.15596,1.29794,0.49927,0.38954,0.3992,0.2239,1.33913,1.01527,1.27589,0.000703,0.000703,0.000703
32,1293.02,1.43608,1.1395,1.29092,0.60702,0.37252,0.40725,0.22939,1.34211,1.01045,1.27403,0.0006931,0.0006931,0.0006931
33,1333.29,1.42525,1.1268,1.28462,0.58264,0.40776,0.42134,0.2364,1.32134,0.99474,1.2675,0.0006832,0.0006832,0.0006832
